"No.","IP Address","Type","Serial Number","Code","Receive Date","Warranty Date","DocRefer1","DocRefer2","Brand","Model","CPU Brand","CPU Speed","Capacity","Ram","Detail 1","Detail 2","Detail 3","Detail 4","Detail 5","Detail 6","OS License","OS Installed","Note","Location" 
"60","192.168.10.105","Monitor","CN-0DM06C-64180-37P-0HUL","FA13-09-425","Sep 30 2013 12:00AM","36","CH-BP-004","OCTS-5609030","DELL","E1713SC - LED 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI04                             ","General OfficeFactory 1" 
"61","192.168.10.106","Computer","9BJV72S","OF11-01-159","Feb 22 2013 12:00AM","36","CH-BP-003"," ","DELL","OptiPlex 380","Intel Core 2 Duo E7400","2.93","300","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","BC-30-5B-AA-E5-31","32 bit","Windows 7","Windows 7","BOI03                      ","General OfficeFactory 1" 
"62","192.168.10.106","Monitor","CN-0M875N-64180-04R-165M","OF11-01-159","Feb 22 2013 12:00AM","36","CH-BP-003"," ","DELL","E170SC - 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI03                                   ","General OfficeFactory 1" 
"63","192.168.10.107","Computer","CNX9190Y82","OF09-06-008","Aug 3 2009 12:00AM"," ","CH-BP-001"," ","HP","Prvilion NJ019AA-AKL G3772","Intel Pentium Dual E2220","2.40","160","2048","HP (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-24-21-3D-27-1D","32 bit","Windows Vista","Windows XP","BOI01                                                                                                                    ","General OfficeFactory 1" 
"64","192.168.10.107","Monitor","E1916H "," ","Mar 8 2016 12:00AM"," "," "," ","DELL","E1916H   18\" LED"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI01","General OfficeFactory 1" 
"65","192.168.10.108","Computer","DCFYB2S","OF12-02-181","Mar 1 2012 12:00AM","36","CH-AC-004"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-2A-44-19","32 bit","Windows 7","Windows 7","ACC04            ","General OfficeFactory 1" 
"66","192.168.10.108","Monitor","CN-0147F6-74261-570-261M"," ","Sep 11 2015 12:00AM","36","CH-AC-004"," ","DELL","E2016H - LCD 19.45 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","ACC04                                              ","General OfficeFactory 1" 
"67","192.168.10.110","Computer","HB9922S","OF09-07-034","Oct 12 2011 12:00AM","36","CH-BP-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," 00-23-AE-9B-03-10","32 bit","Windows Vista","Windows XP","BOI02                                                                                         ","General OfficeFactory 1" 
"68","192.168.10.110","Monitor","CN-OM87N-64180-95Q-3PPU","OF09-07-034","Oct 12 2011 12:00AM","36","CH-BP-002"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","BOI02","General OfficeFactory 1" 
"69","192.168.10.111","Computer","FB9922S","FA09-07-010","Aug 25 2009 12:00AM","36","CH-QC-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9B-09-B9","32 bit","Windows Vista","Windows XP","QAQC07","QA/QC OfficeFactory 1" 
"70","192.168.10.111","Monitor","CN-0M875N-64180-95Q-3PNU","FA09-07-010","Aug 25 2009 12:00AM","36","CH-QC-002"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC07","QA/QC OfficeFactory 1" 
"71","192.168.10.112","Computer","3C9922S","FA09-07-013","Aug 25 2009 12:00AM","36","CH-PC-008"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","4096","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9A-E5-C6","32 bit","Windows Vista","Windows XP","PC06                                                                                                                             ","Production OfficeFactory 1" 
"72","192.168.10.112","Monitor","CN-0M875N-64180-95Q-3PSU","FA09-07-013","Jan 20 2012 12:00AM","36","CH-PC-011"," ","DELL","E170SC - LCD 17 inch"," "," ","0","0"," "," "," "," "," "," "," "," ","PC06                                                                                                                                                            ","Production OfficeFactory 1" 
"73","192.168.10.112","Printers","G84Y183557","FA12-09-365","Sep 26 2012 12:00AM"," ","CD10"," ","EPSON","LQ-300 II"," "," ","0","0"," "," "," "," "," "," "," "," ","                                               ","Production OfficeFactory 1" 
"74","192.168.10.113","Computer","8GRJ4Y1","2FA13-07-054","Jun 19 2013 12:00AM","36","CH-PE-004"," ","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","500","4096","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 7","Windows 7","QAQC08                       ","QA/QC OfficeFactory 1" 
"75","192.168.10.113","Monitor","CN-ODM06C"," 2FA13-07-054","Jun 19 2013 12:00AM","36"," "," ","DELL","E1713Sc"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC08                       ","QA/QC OfficeFactory 1" 
"76","192.168.10.115","Computer","JB9922S","FA09-07-007","Aug 25 2009 12:00AM","36","CH-QC-003"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9B-08-9F","32 bit","Windows Vista","Windows XP","QAQC01                                                                  ","QA/QC OfficeFactory 1" 
